,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD14,154.9780465,10.97759874,1.976029553,5.555381863,2.77E-08,3.43E-06
PLAG1,658.7135876,-5.79123641,1.04274046,-5.553861802,2.79E-08,3.44E-06
ZNF385D,306.3764655,-7.761787484,1.400346893,-5.542760526,2.98E-08,3.64E-06
HAVCR2,565.098973,5.961295831,1.076785111,5.536198234,3.09E-08,3.76E-06
MEI4,84.67956715,-8.662356829,1.574752173,-5.500774649,3.78E-08,4.56E-06
EPS8,378.2089702,6.378687288,1.162772443,5.485757191,4.12E-08,4.94E-06
ARHGAP24,131.7484824,10.7423543,1.971131026,5.449842832,5.04E-08,6.01E-06
EHD2,162.5936342,-5.808029051,1.0671059,-5.442785999,5.25E-08,6.17E-06
BMPR1B,103.110003,-8.941311611,1.642461105,-5.443849833,5.21E-08,6.17E-06
GIMAP4,847.7558657,8.93267844,1.64360135,5.434820579,5.49E-08,6.41E-06
NLRC4,267.0543546,6.412015377,1.180593504,5.431179617,5.60E-08,6.50E-06
GPR65,238.0999468,7.859581738,1.447972367,5.427991526,5.70E-08,6.58E-06
RP11-44F14.1,68.81935194,8.793315015,1.623408029,5.416577261,6.08E-08,6.97E-06
NAPSB,245.6805819,7.013662444,1.295470942,5.413986697,6.16E-08,7.03E-06
FCGR2C,174.8654066,11.15152627,2.060664371,5.411616964,6.25E-08,7.07E-06
KIAA1377,185.0537166,-7.935246909,1.473026482,-5.38703615,7.16E-08,8.06E-06
PDE1C,74.821522,-7.529900737,1.398118317,-5.385739278,7.21E-08,8.07E-06
IL12RB2,299.4847333,-6.69855906,1.245627787,-5.37765706,7.55E-08,8.39E-06
TBC1D8B,99.77054459,-6.121411731,1.139047097,-5.37415156,7.69E-08,8.51E-06
CLIP3,70.61139132,-6.592591131,1.228054835,-5.368319835,7.95E-08,8.73E-06
FAM133A,69.52774093,-9.377004715,1.749150973,-5.360889288,8.28E-08,9.05E-06
RASSF9,104.1804952,-8.221777999,1.534389654,-5.358337747,8.40E-08,9.12E-06
TNFRSF1B,1150.231205,3.886483588,0.725922361,5.353855726,8.61E-08,9.29E-06
SGMS2,663.268431,5.157751484,0.964333721,5.348513042,8.87E-08,9.52E-06
SLAMF7,144.8832915,10.87966559,2.038261569,5.337718059,9.41E-08,1.00E-05
FPR2,71.87392977,9.867232266,1.849809535,5.334188238,9.60E-08,1.02E-05
SLC1A6,108.4801149,-9.094485084,1.709090994,-5.321241008,1.03E-07,1.08E-05
ZNF204P,82.64747282,-8.699218728,1.634581578,-5.321985053,1.03E-07,1.08E-05
MS4A14,166.8378644,7.899771259,1.485367156,5.318396348,1.05E-07,1.09E-05
NPR3,2561.848725,-4.653477163,0.87932992,-5.292071905,1.21E-07,1.25E-05
TMEM200A,76.61351619,-6.596341002,1.247251871,-5.288700025,1.23E-07,1.26E-05
CDKN2B,68.10737269,8.873919558,1.677615294,5.289603396,1.23E-07,1.26E-05
FGL2,9404.581023,6.583651896,1.245636666,5.285370987,1.25E-07,1.28E-05
CXCL16,769.8708979,8.231023333,1.559056394,5.279490445,1.30E-07,1.31E-05
FRMD6,27.18967429,-8.024068832,1.52101656,-5.275464476,1.32E-07,1.33E-05
DNM3,520.0430856,-5.299311653,1.004451622,-5.27582567,1.32E-07,1.33E-05
RP11-497H16.7,92.74559355,7.598370492,1.442887081,5.266088102,1.39E-07,1.39E-05
NCF2,1733.603089,4.879478724,0.930293595,5.245095475,1.56E-07,1.55E-05
